simulation,match_id,round,home_team,away_team,home_goals,away_goals,winner,loser,penalties
2,83,Round of 32,Uzbekistan,Ghana,1,1,Uzbekistan,Ghana,True
2,84,Round of 32,Spain,Austria,3,0,Spain,Austria,False
2,85,Round of 32,Switzerland,Jordan,2,0,Switzerland,Jordan,False
2,86,Round of 32,United States,New Zealand,3,0,United States,New Zealand,False
2,87,Round of 32,Argentina,Uruguay,1,6,Uruguay,Argentina,False
2,88,Round of 32,Colombia,Croatia,0,0,Croatia,Colombia,True
2,89,Round of 16,Czech Republic,Ecuador,0,3,Ecuador,Czech Republic,False
2,90,Round of 16,Tunisia,France,0,0,France,Tunisia,True
2,91,Round of 16,Netherlands,Norway,2,1,Netherlands,Norway,False
2,92,Round of 16,Ivory Coast,Portugal,2,1,Ivory Coast,Portugal,False
2,93,Round of 16,Uzbekistan,Spain,1,2,Spain,Uzbekistan,False
2,94,Round of 16,Iran,Turkey,1,0,Iran,Turkey,False
2,95,Round of 16,United States,Croatia,3,1,United States,Croatia,False
2,96,Round of 16,Switzerland,Uruguay,0,0,Uruguay,Switzerland,True
2,97,Quarter-final,Ecuador,France,2,2,France,Ecuador,True
2,98,Quarter-final,Spain,Iran,0,0,Iran,Spain,True
2,99,Quarter-final,Netherlands,Ivory Coast,2,1,Netherlands,Ivory Coast,False
2,100,Quarter-final,United States,Uruguay,0,0,United States,Uruguay,True
2,101,Semi-final,France,Iran,2,1,France,Iran,False
2,102,Semi-final,Netherlands,United States,1,3,United States,Netherlands,False
2,103,Third-place playoff,Iran,Netherlands,0,2,Netherlands,Iran,False
2,104,Final,France,United States,3,1,France,United States,False
3,73,Round of 32,Czech Republic,Canada,0,1,Canada,Czech Republic,False
3,74,Round of 32,Brazil,Japan,2,0,Brazil,Japan,False
3,75,Round of 32,Ecuador,Netherlands,1,1,Netherlands,Ecuador,True
3,76,Round of 32,Sweden,Morocco,1,0,Sweden,Morocco,False
3,77,Round of 32,Germany,Norway,0,1,Norway,Germany,False
3,78,Round of 32,France,Saudi Arabia,4,2,France,Saudi Arabia,False
3,79,Round of 32,Mexico,Ivory Coast,1,0,Mexico,Ivory Coast,False
3,80,Round of 32,England,Colombia,3,1,England,Colombia,False
3,81,Round of 32,Belgium,South Africa,1,2,South Africa,Belgium,False
3,82,Round of 32,Australia,Jordan,0,1,Jordan,Australia,False
3,83,Round of 32,Uzbekistan,Croatia,2,1,Uzbekistan,Croatia,False
3,84,Round of 32,Spain,Algeria,0,1,Algeria,Spain,False
3,85,Round of 32,Switzerland,Egypt,1,1,Egypt,Switzerland,True
3,86,Round of 32,Turkey,Iran,5,2,Turkey,Iran,False
3,87,Round of 32,Argentina,Uruguay,4,0,Argentina,Uruguay,False
3,88,Round of 32,Portugal,Panama,2,0,Portugal,Panama,False
3,89,Round of 16,Canada,Netherlands,1,2,Netherlands,Canada,False
3,90,Round of 16,Brazil,Norway,0,0,Norway,Brazil,True
3,91,Round of 16,Sweden,France,0,3,France,Sweden,False
3,92,Round of 16,Mexico,England,0,0,Mexico,England,True
3,93,Round of 16,Uzbekistan,Algeria,0,3,Algeria,Uzbekistan,False
3,94,Round of 16,South Africa,Jordan,0,4,Jordan,South Africa,False
3,95,Round of 16,Turkey,Portugal,0,1,Portugal,Turkey,False
3,96,Round of 16,Egypt,Argentina,1,3,Argentina,Egypt,False
3,97,Quarter-final,Netherlands,Norway,2,0,Netherlands,Norway,False
3,98,Quarter-final,Algeria,Jordan,1,1,Algeria,Jordan,True
3,99,Quarter-final,France,Mexico,2,2,France,Mexico,True
3,100,Quarter-final,Portugal,Argentina,1,1,Argentina,Portugal,True
3,101,Semi-final,Netherlands,Algeria,0,3,Algeria,Netherlands,False
3,102,Semi-final,France,Argentina,0,4,Argentina,France,False
3,103,Third-place playoff,Netherlands,France,2,3,France,Netherlands,False
3,104,Final,Algeria,Argentina,0,4,Argentina,Algeria,False
4,73,Round of 32,Mexico,Canada,1,1,Canada,Mexico,True
4,74,Round of 32,Brazil,Sweden,3,0,Brazil,Sweden,False
4,75,Round of 32,Ecuador,Morocco,2,2,Ecuador,Morocco,True
4,76,Round of 32,Japan,Haiti,1,0,Japan,Haiti,False
4,77,Round of 32,Ivory Coast,Norway,0,0,Norway,Ivory Coast,True
4,78,Round of 32,France,Netherlands,0,1,Netherlands,France,False
4,79,Round of 32,South Korea,Saudi Arabia,2,0,South Korea,Saudi Arabia,False
4,80,Round of 32,England,Colombia,2,0,England,Colombia,False
4,81,Round of 32,Belgium,Czech Republic,2,0,Belgium,Czech Republic,False
4,82,Round of 32,United States,Jordan,4,0,United States,Jordan,False
4,83,Round of 32,Portugal,Panama,2,0,Portugal,Panama,False
4,84,Round of 32,Spain,Austria,2,0,Spain,Austria,False
4,85,Round of 32,Switzerland,New Zealand,5,0,Switzerland,New Zealand,False
4,86,Round of 32,Australia,Iran,1,0,Australia,Iran,False
4,87,Round of 32,Argentina,Uruguay,1,1,Uruguay,Argentina,True
4,88,Round of 32,Uzbekistan,Germany,1,1,Germany,Uzbekistan,True
4,89,Round of 16,Canada,Ecuador,1,5,Ecuador,Canada,False
4,90,Round of 16,Brazil,Norway,3,1,Brazil,Norway,False
4,91,Round of 16,Japan,Netherlands,1,2,Netherlands,Japan,False
4,92,Round of 16,South Korea,England,1,3,England,South Korea,False
4,93,Round of 16,Portugal,Spain,0,3,Spain,Portugal,False
4,94,Round of 16,Belgium,United States,3,2,Belgium,United States,False
4,95,Round of 16,Australia,Germany,2,0,Australia,Germany,False
4,96,Round of 16,Switzerland,Uruguay,1,0,Switzerland,Uruguay,False
4,97,Quarter-final,Ecuador,Brazil,2,2,Brazil,Ecuador,True
4,98,Quarter-final,Spain,Belgium,3,2,Spain,Belgium,False
4,99,Quarter-final,Netherlands,England,0,1,England,Netherlands,False
4,100,Quarter-final,Australia,Switzerland,0,0,Switzerland,Australia,True
4,101,Semi-final,Brazil,Spain,1,1,Spain,Brazil,True
4,102,Semi-final,England,Switzerland,1,0,England,Switzerland,False
4,103,Third-place playoff,Brazil,Switzerland,0,0,Brazil,Switzerland,True
4,104,Final,Spain,England,2,2,England,Spain,True
5,73,Round of 32,Mexico,Switzerland,0,1,Switzerland,Mexico,False
5,74,Round of 32,Morocco,Japan,2,2,Morocco,Japan,True
5,75,Round of 32,Germany,Scotland,0,0,Scotland,Germany,True
5,76,Round of 32,Tunisia,Brazil,1,1,Brazil,Tunisia,True
5,77,Round of 32,Ecuador,Norway,1,0,Ecuador,Norway,False
5,78,Round of 32,France,Turkey,3,0,France,Turkey,False
5,79,Round of 32,South Africa,Senegal,1,4,Senegal,South Africa,False
5,80,Round of 32,England,Uzbekistan,2,3,Uzbekistan,England,False
5,81,Round of 32,Belgium,Czech Republic,2,0,Belgium,Czech Republic,False
5,82,Round of 32,Paraguay,Qatar,1,1,Paraguay,Qatar,True
5,83,Round of 32,Colombia,Ghana,1,2,Ghana,Colombia,False
5,84,Round of 32,Spain,Algeria,6,2,Spain,Algeria,False
5,85,Round of 32,Canada,Iran,1,2,Iran,Canada,False
5,86,Round of 32,Australia,New Zealand,0,1,New Zealand,Australia,False
5,87,Round of 32,Argentina,Uruguay,1,1,Uruguay,Argentina,True
5,88,Round of 32,Portugal,Croatia,4,1,Portugal,Croatia,False
5,89,Round of 16,Switzerland,Scotland,0,0,Scotland,Switzerland,True
5,90,Round of 16,Morocco,Ecuador,2,1,Morocco,Ecuador,False
5,91,Round of 16,Brazil,France,2,2,France,Brazil,True
5,92,Round of 16,Senegal,Uzbekistan,2,0,Senegal,Uzbekistan,False
5,93,Round of 16,Ghana,Spain,0,3,Spain,Ghana,False
5,94,Round of 16,Belgium,Paraguay,1,1,Belgium,Paraguay,True
5,95,Round of 16,New Zealand,Portugal,2,3,Portugal,New Zealand,False
5,96,Round of 16,Iran,Uruguay,3,0,Iran,Uruguay,False
5,97,Quarter-final,Scotland,Morocco,2,3,Morocco,Scotland,False
5,98,Quarter-final,Spain,Belgium,0,3,Belgium,Spain,False
5,99,Quarter-final,France,Senegal,2,0,France,Senegal,False
5,100,Quarter-final,Portugal,Iran,2,0,Portugal,Iran,False
5,101,Semi-final,Morocco,Belgium,1,0,Morocco,Belgium,False
5,102,Semi-final,France,Portugal,1,2,Portugal,France,False
5,103,Third-place playoff,Belgium,France,4,2,Belgium,France,False
5,104,Final,Morocco,Portugal,3,0,Morocco,Portugal,False
6,73,Round of 32,South Korea,Canada,1,2,Canada,South Korea,False
6,74,Round of 32,Morocco,Japan,3,0,Morocco,Japan,False
6,75,Round of 32,Germany,United States,3,1,Germany,United States,False
6,76,Round of 32,Netherlands,Brazil,1,2,Brazil,Netherlands,False
6,77,Round of 32,Curaçao,France,2,2,France,Curaçao,True
6,78,Round of 32,Norway,Tunisia,3,1,Norway,Tunisia,False
6,79,Round of 32,Mexico,Haiti,4,0,Mexico,Haiti,False
6,80,Round of 32,England,Portugal,1,1,Portugal,England,True
6,81,Round of 32,Belgium,Czech Republic,1,1,Czech Republic,Belgium,True
6,82,Round of 32,Australia,Algeria,2,1,Australia,Algeria,False
6,83,Round of 32,Colombia,Panama,3,0,Colombia,Panama,False
6,84,Round of 32,Spain,Austria,4,1,Spain,Austria,False
6,85,Round of 32,Switzerland,Iran,1,0,Switzerland,Iran,False
6,86,Round of 32,Turkey,Egypt,1,1,Turkey,Egypt,True
6,87,Round of 32,Argentina,Uruguay,5,2,Argentina,Uruguay,False
6,88,Round of 32,DR Congo,Ivory Coast,0,1,Ivory Coast,DR Congo,False
6,89,Round of 16,Canada,Germany,0,0,Germany,Canada,True
6,90,Round of 16,Morocco,France,0,3,France,Morocco,False
6,91,Round of 16,Brazil,Norway,2,1,Brazil,Norway,False
6,92,Round of 16,Mexico,Portugal,1,2,Portugal,Mexico,False
6,93,Round of 16,Colombia,Spain,1,2,Spain,Colombia,False
6,94,Round of 16,Czech Republic,Australia,0,3,Australia,Czech Republic,False
6,95,Round of 16,Turkey,Ivory Coast,1,2,Ivory Coast,Turkey,False
6,96,Round of 16,Switzerland,Argentina,0,1,Argentina,Switzerland,False
6,97,Quarter-final,Germany,France,2,1,Germany,France,False
6,98,Quarter-final,Spain,Australia,2,0,Spain,Australia,False
6,99,Quarter-final,Brazil,Portugal,1,0,Brazil,Portugal,False
6,100,Quarter-final,Ivory Coast,Argentina,0,3,Argentina,Ivory Coast,False
6,101,Semi-final,Germany,Spain,0,4,Spain,Germany,False
6,102,Semi-final,Brazil,Argentina,2,2,Argentina,Brazil,True
6,103,Third-place playoff,Germany,Brazil,0,4,Brazil,Germany,False
6,104,Final,Spain,Argentina,0,1,Argentina,Spain,False
7,73,Round of 32,South Korea,Canada,1,2,Canada,South Korea,False
7,74,Round of 32,Scotland,Sweden,2,0,Scotland,Sweden,False
7,75,Round of 32,Germany,Morocco,2,2,Morocco,Germany,True
7,76,Round of 32,Netherlands,Brazil,2,1,Netherlands,Brazil,False
7,77,Round of 32,Ecuador,France,1,1,Ecuador,France,True
7,78,Round of 32,Norway,Japan,0,2,Japan,Norway,False
7,79,Round of 32,Mexico,Cape Verde,4,0,Mexico,Cape Verde,False
7,80,Round of 32,England,Senegal,1,3,Senegal,England,False
7,81,Round of 32,Iran,South Africa,2,0,Iran,South Africa,False
7,82,Round of 32,United States,Switzerland,1,1,Switzerland,United States,True
7,83,Round of 32,DR Congo,Croatia,0,1,Croatia,DR Congo,False
7,84,Round of 32,Spain,Algeria,2,2,Algeria,Spain,True
7,85,Round of 32,Bosnia and Herzegovina,Egypt,2,0,Bosnia and Herzegovina,Egypt,False
7,86,Round of 32,Paraguay,New Zealand,4,1,Paraguay,New Zealand,False
7,87,Round of 32,Argentina,Uruguay,1,0,Argentina,Uruguay,False
7,88,Round of 32,Portugal,Australia,3,0,Portugal,Australia,False
7,89,Round of 16,Canada,Morocco,2,1,Canada,Morocco,False
7,90,Round of 16,Scotland,Ecuador,1,4,Ecuador,Scotland,False
7,91,Round of 16,Netherlands,Japan,3,3,Japan,Netherlands,True
7,92,Round of 16,Mexico,Senegal,1,2,Senegal,Mexico,False
7,93,Round of 16,Croatia,Algeria,3,1,Croatia,Algeria,False
7,94,Round of 16,Iran,Switzerland,1,2,Switzerland,Iran,False
7,95,Round of 16,Paraguay,Portugal,2,5,Portugal,Paraguay,False
7,96,Round of 16,Bosnia and Herzegovina,Argentina,1,3,Argentina,Bosnia and Herzegovina,False
7,97,Quarter-final,Canada,Ecuador,1,1,Ecuador,Canada,True
7,98,Quarter-final,Croatia,Switzerland,0,0,Switzerland,Croatia,True
7,99,Quarter-final,Japan,Senegal,1,0,Japan,Senegal,False
7,100,Quarter-final,Portugal,Argentina,1,2,Argentina,Portugal,False
7,101,Semi-final,Ecuador,Switzerland,1,0,Ecuador,Switzerland,False
7,102,Semi-final,Japan,Argentina,3,2,Japan,Argentina,False
7,103,Third-place playoff,Switzerland,Argentina,1,3,Argentina,Switzerland,False
7,104,Final,Ecuador,Japan,1,3,Japan,Ecuador,False
8,73,Round of 32,Mexico,Canada,2,0,Mexico,Canada,False
8,74,Round of 32,Scotland,Japan,1,2,Japan,Scotland,False
8,75,Round of 32,Germany,Australia,3,1,Germany,Australia,False
8,76,Round of 32,Netherlands,Brazil,1,3,Brazil,Netherlands,False
8,77,Round of 32,Ecuador,Norway,0,1,Norway,Ecuador,False
8,78,Round of 32,France,Sweden,3,0,France,Sweden,False
8,79,Round of 32,South Korea,Curaçao,1,1,Curaçao,South Korea,True
8,80,Round of 32,Croatia,Colombia,0,0,Colombia,Croatia,True
8,81,Round of 32,Belgium,Saudi Arabia,3,1,Belgium,Saudi Arabia,False
8,82,Round of 32,Paraguay,Bosnia and Herzegovina,3,0,Paraguay,Bosnia and Herzegovina,False
8,83,Round of 32,Portugal,England,0,0,England,Portugal,True
8,84,Round of 32,Spain,Argentina,1,0,Spain,Argentina,False
8,85,Round of 32,Switzerland,Austria,1,1,Austria,Switzerland,True
8,86,Round of 32,United States,New Zealand,0,1,New Zealand,United States,False
8,87,Round of 32,Algeria,Uruguay,0,0,Algeria,Uruguay,True
8,88,Round of 32,DR Congo,Panama,0,1,Panama,DR Congo,False
8,89,Round of 16,Mexico,Germany,0,2,Germany,Mexico,False
8,90,Round of 16,Japan,Norway,1,0,Japan,Norway,False
8,91,Round of 16,Brazil,France,4,0,Brazil,France,False
8,92,Round of 16,Curaçao,Colombia,0,1,Colombia,Curaçao,False
8,93,Round of 16,England,Spain,0,1,Spain,England,False
8,94,Round of 16,Belgium,Paraguay,0,1,Paraguay,Belgium,False
8,95,Round of 16,New Zealand,Panama,1,1,Panama,New Zealand,True
8,96,Round of 16,Austria,Algeria,0,0,Algeria,Austria,True
8,97,Quarter-final,Germany,Japan,1,1,Japan,Germany,True
8,98,Quarter-final,Spain,Paraguay,1,1,Paraguay,Spain,True
8,99,Quarter-final,Brazil,Colombia,0,0,Brazil,Colombia,True
8,100,Quarter-final,Panama,Algeria,4,2,Panama,Algeria,False
8,101,Semi-final,Japan,Paraguay,1,1,Paraguay,Japan,True
8,102,Semi-final,Brazil,Panama,2,1,Brazil,Panama,False
8,103,Third-place playoff,Japan,Panama,1,2,Panama,Japan,False
8,104,Final,Paraguay,Brazil,0,1,Brazil,Paraguay,False
9,73,Round of 32,Mexico,Switzerland,1,1,Mexico,Switzerland,True
9,74,Round of 32,Brazil,Sweden,2,0,Brazil,Sweden,False
9,75,Round of 32,Germany,Turkey,1,0,Germany,Turkey,False
9,76,Round of 32,Tunisia,Morocco,1,1,Tunisia,Morocco,True
9,77,Round of 32,Ecuador,Senegal,0,0,Ecuador,Senegal,True
9,78,Round of 32,France,Netherlands,3,1,France,Netherlands,False
9,79,Round of 32,South Korea,Scotland,2,0,South Korea,Scotland,False
9,80,Round of 32,England,DR Congo,0,0,DR Congo,England,True
9,81,Round of 32,Iran,Cape Verde,1,0,Iran,Cape Verde,False
9,82,Round of 32,United States,Iraq,1,1,Iraq,United States,True
9,83,Round of 32,Portugal,Croatia,3,0,Portugal,Croatia,False
9,84,Round of 32,Spain,Austria,1,0,Spain,Austria,False
9,85,Round of 32,Canada,Algeria,2,0,Canada,Algeria,False
9,86,Round of 32,Paraguay,Egypt,1,0,Paraguay,Egypt,False
9,87,Round of 32,Argentina,Uruguay,0,2,Uruguay,Argentina,False
9,88,Round of 32,Colombia,Panama,3,1,Colombia,Panama,False
9,89,Round of 16,Mexico,Germany,1,5,Germany,Mexico,False
9,90,Round of 16,Brazil,Ecuador,1,1,Brazil,Ecuador,True
9,91,Round of 16,Tunisia,France,1,2,France,Tunisia,False
9,92,Round of 16,South Korea,DR Congo,1,1,DR Congo,South Korea,True
9,93,Round of 16,Portugal,Spain,1,2,Spain,Portugal,False
9,94,Round of 16,Iran,Iraq,0,0,Iran,Iraq,True
9,95,Round of 16,Paraguay,Colombia,0,2,Colombia,Paraguay,False
9,96,Round of 16,Canada,Uruguay,2,0,Canada,Uruguay,False
9,97,Quarter-final,Germany,Brazil,1,2,Brazil,Germany,False
9,98,Quarter-final,Spain,Iran,0,0,Iran,Spain,True
9,99,Quarter-final,France,DR Congo,5,1,France,DR Congo,False
9,100,Quarter-final,Colombia,Canada,1,1,Colombia,Canada,True
9,101,Semi-final,Brazil,Iran,2,0,Brazil,Iran,False
9,102,Semi-final,France,Colombia,0,0,Colombia,France,True
9,103,Third-place playoff,Iran,France,1,2,France,Iran,False
9,104,Final,Brazil,Colombia,1,0,Brazil,Colombia,False
10,73,Round of 32,Mexico,Bosnia and Herzegovina,2,0,Mexico,Bosnia and Herzegovina,False
10,74,Round of 32,Brazil,Japan,1,1,Brazil,Japan,True
10,75,Round of 32,Germany,Switzerland,3,0,Germany,Switzerland,False
10,76,Round of 32,Netherlands,Morocco,0,2,Morocco,Netherlands,False
10,77,Round of 32,Ivory Coast,Senegal,1,1,Ivory Coast,Senegal,True
10,78,Round of 32,France,Egypt,3,2,France,Egypt,False
10,79,Round of 32,South Korea,Ecuador,2,0,South Korea,Ecuador,False
10,80,Round of 32,Croatia,Uzbekistan,2,0,Croatia,Uzbekistan,False
10,81,Round of 32,New Zealand,Uruguay,0,2,Uruguay,New Zealand,False
10,82,Round of 32,Paraguay,Norway,3,1,Paraguay,Norway,False
10,83,Round of 32,Portugal,England,1,1,England,Portugal,True
10,84,Round of 32,Spain,Austria,0,2,Austria,Spain,False
10,85,Round of 32,Canada,Jordan,4,0,Canada,Jordan,False
10,86,Round of 32,Turkey,Belgium,1,1,Turkey,Belgium,True
10,87,Round of 32,Argentina,Saudi Arabia,2,1,Argentina,Saudi Arabia,False
10,88,Round of 32,Colombia,Panama,1,0,Colombia,Panama,False
10,89,Round of 16,Mexico,Germany,0,0,Germany,Mexico,True
10,90,Round of 16,Brazil,Ivory Coast,1,1,Brazil,Ivory Coast,True
10,91,Round of 16,Morocco,France,0,2,France,Morocco,False
10,92,Round of 16,South Korea,Croatia,1,3,Croatia,South Korea,False
10,93,Round of 16,England,Austria,1,0,England,Austria,False
10,94,Round of 16,Uruguay,Paraguay,1,0,Uruguay,Paraguay,False
10,95,Round of 16,Turkey,Colombia,1,0,Turkey,Colombia,False
10,96,Round of 16,Canada,Argentina,2,1,Canada,Argentina,False
10,97,Quarter-final,Germany,Brazil,0,2,Brazil,Germany,False
10,98,Quarter-final,England,Uruguay,0,2,Uruguay,England,False
10,99,Quarter-final,France,Croatia,0,1,Croatia,France,False
10,100,Quarter-final,Turkey,Canada,2,0,Turkey,Canada,False
10,101,Semi-final,Brazil,Uruguay,1,1,Brazil,Uruguay,True
10,102,Semi-final,Croatia,Turkey,1,1,Turkey,Croatia,True
10,103,Third-place playoff,Uruguay,Croatia,3,2,Uruguay,Croatia,False
10,104,Final,Brazil,Turkey,1,0,Brazil,Turkey,False
11,73,Round of 32,South Korea,Switzerland,3,1,South Korea,Switzerland,False
11,74,Round of 32,Brazil,Tunisia,2,0,Brazil,Tunisia,False
11,75,Round of 32,Germany,Paraguay,6,0,Germany,Paraguay,False
11,76,Round of 32,Japan,Haiti,1,1,Haiti,Japan,True
11,77,Round of 32,Ecuador,France,0,1,France,Ecuador,False
11,78,Round of 32,Norway,Netherlands,1,2,Netherlands,Norway,False
11,79,Round of 32,Mexico,Scotland,1,0,Mexico,Scotland,False
11,80,Round of 32,Ghana,Uzbekistan,0,2,Uzbekistan,Ghana,False
11,81,Round of 32,Belgium,Saudi Arabia,3,0,Belgium,Saudi Arabia,False
11,82,Round of 32,Australia,Curaçao,2,0,Australia,Curaçao,False
11,83,Round of 32,Portugal,England,1,1,England,Portugal,True
11,84,Round of 32,Spain,Argentina,2,0,Spain,Argentina,False
11,85,Round of 32,Canada,Jordan,1,1,Canada,Jordan,True
11,86,Round of 32,United States,New Zealand,2,1,United States,New Zealand,False
11,87,Round of 32,Algeria,Uruguay,0,1,Uruguay,Algeria,False
11,88,Round of 32,Colombia,Senegal,1,5,Senegal,Colombia,False
11,89,Round of 16,South Korea,Germany,1,3,Germany,South Korea,False
11,90,Round of 16,Brazil,France,1,1,Brazil,France,True
11,91,Round of 16,Haiti,Netherlands,3,2,Haiti,Netherlands,False
11,92,Round of 16,Mexico,Uzbekistan,2,2,Uzbekistan,Mexico,True
11,93,Round of 16,England,Spain,1,1,England,Spain,True
11,94,Round of 16,Belgium,Australia,1,0,Belgium,Australia,False
11,95,Round of 16,United States,Senegal,1,2,Senegal,United States,False
11,96,Round of 16,Canada,Uruguay,1,1,Uruguay,Canada,True
11,97,Quarter-final,Germany,Brazil,0,1,Brazil,Germany,False
11,98,Quarter-final,England,Belgium,0,1,Belgium,England,False
11,99,Quarter-final,Haiti,Uzbekistan,1,0,Haiti,Uzbekistan,False
11,100,Quarter-final,Senegal,Uruguay,1,3,Uruguay,Senegal,False
11,101,Semi-final,Brazil,Belgium,2,1,Brazil,Belgium,False
11,102,Semi-final,Haiti,Uruguay,0,3,Uruguay,Haiti,False
11,103,Third-place playoff,Belgium,Haiti,0,0,Belgium,Haiti,True
11,104,Final,Brazil,Uruguay,1,2,Uruguay,Brazil,False
12,73,Round of 32,Czech Republic,Switzerland,1,2,Switzerland,Czech Republic,False
12,74,Round of 32,Scotland,Tunisia,0,1,Tunisia,Scotland,False
12,75,Round of 32,Ecuador,South Korea,0,0,Ecuador,South Korea,True
12,76,Round of 32,Netherlands,Morocco,2,1,Netherlands,Morocco,False
12,77,Round of 32,Curaçao,Norway,0,4,Norway,Curaçao,False
12,78,Round of 32,France,Turkey,1,1,Turkey,France,True
12,79,Round of 32,Mexico,Germany,2,0,Mexico,Germany,False
12,80,Round of 32,England,Colombia,1,2,Colombia,England,False
12,81,Round of 32,Iran,Iraq,1,0,Iran,Iraq,False
12,82,Round of 32,Australia,Bosnia and Herzegovina,5,0,Australia,Bosnia and Herzegovina,False
12,83,Round of 32,Portugal,Croatia,1,1,Portugal,Croatia,True
12,84,Round of 32,Spain,Jordan,5,0,Spain,Jordan,False
12,85,Round of 32,Canada,New Zealand,2,0,Canada,New Zealand,False
12,86,Round of 32,Paraguay,Egypt,3,1,Paraguay,Egypt,False
12,87,Round of 32,Argentina,Uruguay,1,0,Argentina,Uruguay,False
12,88,Round of 32,Uzbekistan,Ghana,1,0,Uzbekistan,Ghana,False
12,89,Round of 16,Switzerland,Ecuador,3,0,Switzerland,Ecuador,False
12,90,Round of 16,Tunisia,Norway,1,1,Norway,Tunisia,True
12,91,Round of 16,Netherlands,Turkey,2,1,Netherlands,Turkey,False
12,92,Round of 16,Mexico,Colombia,0,1,Colombia,Mexico,False
12,93,Round of 16,Portugal,Spain,1,2,Spain,Portugal,False
12,94,Round of 16,Iran,Australia,0,1,Australia,Iran,False
12,95,Round of 16,Paraguay,Uzbekistan,1,1,Uzbekistan,Paraguay,True
12,96,Round of 16,Canada,Argentina,1,0,Canada,Argentina,False
12,97,Quarter-final,Switzerland,Norway,3,1,Switzerland,Norway,False
12,98,Quarter-final,Spain,Australia,1,1,Australia,Spain,True
12,99,Quarter-final,Netherlands,Colombia,1,1,Netherlands,Colombia,True
12,100,Quarter-final,Uzbekistan,Canada,2,3,Canada,Uzbekistan,False
12,101,Semi-final,Switzerland,Australia,1,3,Australia,Switzerland,False
12,102,Semi-final,Netherlands,Canada,0,1,Canada,Netherlands,False
12,103,Third-place playoff,Switzerland,Netherlands,0,3,Netherlands,Switzerland,False
12,104,Final,Australia,Canada,3,1,Australia,Canada,False
13,73,Round of 32,South Korea,Switzerland,2,3,Switzerland,South Korea,False
13,74,Round of 32,Scotland,Sweden,1,2,Sweden,Scotland,False
13,75,Round of 32,Germany,United States,2,0,Germany,United States,False
13,76,Round of 32,Tunisia,Morocco,1,1,Morocco,Tunisia,True
13,77,Round of 32,Ivory Coast,Senegal,2,2,Ivory Coast,Senegal,True
13,78,Round of 32,Norway,Japan,2,1,Norway,Japan,False
